Date,Year,Season,Crop,State,District,Irrigation_Type,Area_ha,Fertilizer_Use,Yield_kg_ha,Production_tons
2023-03-17,2023,Kharif,Cotton,Andhra Pradesh,Guntur,Rainfed,686.05,193.0,925.0,634.6
2022-07-09,2022,Rabi,Wheat,Bihar,Gaya,Rainfed,83.66,122.0,2669.0,223.29
2024-07-27,2024,Rabi,Wheat,Punjab,Ludhiana,Tube Well,1119.16,75.0,3641.0,4074.86
2021-09-10,2021,Kharif,Rice,Chhattisgarh,Raipur,Rainfed,489.68,113.0,2218.0,1086.11
2017-05-21,2017,Rabi,Wheat,Rajasthan,Jodhpur,Rainfed,563.64,182.0,3916.0,2207.21
2015-07-08,2015,Kharif,Maize,Bihar,Purnia,Canal,885.63,61.0,5341.0,4730.15
2016-01-31,2016,Kharif,Maize,Telangana,Warangal,Rainfed,684.65,69.0,5320.0,3642.34
2015-01-21,2015,Perennial,Coffee,Karnataka,Belgaum,Canal,930.49,184.0,2166.0,2015.44
2018-02-07,2018,Perennial,Apple,Jammu and Kashmir,Srinagar,Rainfed,144.81,112.0,6328.0,916.36
2019-06-18,2019,Perennial,Tea,Assam,Cachar,Rainfed,281.24,63.0,2303.0,647.7
2016-06-28,2016,Kharif,Rice,Tamil Nadu,Chennai,Drip,1039.29,71.0,6395.0,6646.26
2019-05-04,2019,Kharif,Cotton,Maharashtra,Pune,Drip,1189.8,182.0,1425.0,1695.46
2018-07-14,2018,Rabi,Oilseeds,Maharashtra,Pune,Drip,717.56,124.0,3804.0,2729.6
2020-05-29,2020,Rabi,Wheat,Haryana,Gurgaon,Tube Well,519.52,74.0,2455.0,1275.42
2021-01-15,2021,Kharif,Maize,Bihar,Purnia,Tube Well,867.34,184.0,8620.0,7476.47
2022-05-03,2022,Rabi,Wheat,Madhya Pradesh,Bhopal,Rainfed,265.49,177.0,3287.0,872.67
2020-08-23,2020,Kharif,Pulses,Madhya Pradesh,Bhopal,Tube Well,131.37,53.0,2188.0,287.44
2015-10-17,2015,Perennial,Sugarcane,Tamil Nadu,Coimbatore,Tube Well,707.05,137.0,93503.0,66111.3
2020-04-21,2020,Kharif,Cotton,Maharashtra,Nashik,Tube Well,64.98,87.0,1273.0,82.72
2022-11-02,2022,Rabi,Wheat,Uttar Pradesh,Kanpur,Tube Well,574.86,130.0,3783.0,2174.7
2017-11-28,2017,Kharif,Rice,Assam,Kamrup,Rainfed,648.05,92.0,3013.0,1952.57
2016-10-26,2016,Rabi,Potato,Uttar Pradesh,Kanpur,Rainfed,449.87,97.0,28490.0,12816.8
2020-04-10,2020,Rabi,Wheat,Uttar Pradesh,Lucknow,Tube Well,1397.66,140.0,4611.0,6444.61
2022-12-24,2022,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,765.1,131.0,1891.0,1446.8
2015-08-07,2015,Perennial,Tea,West Bengal,Howrah,Rainfed,899.24,109.0,1826.0,1642.01
2021-11-17,2021,Zaid,Coconut,Karnataka,Hubli,Tube Well,1086.53,66.0,13466.0,14631.21
2020-07-08,2020,Perennial,Tea,Kerala,Kozhikode,Rainfed,429.3,195.0,2450.0,1051.79
2020-08-02,2020,Perennial,Sugarcane,Uttar Pradesh,Lucknow,Canal,858.11,76.0,67675.0,58072.59
2021-06-06,2021,Rabi,Pulses,Maharashtra,Pune,Drip,1088.66,145.0,2559.0,2785.88
2022-09-01,2022,Perennial,Coffee,Karnataka,Bangalore,Drip,547.16,62.0,664.0,363.31
2023-07-19,2023,Kharif,Oilseeds,Rajasthan,Jodhpur,Tube Well,290.64,153.0,3687.0,1071.59
2017-09-09,2017,Kharif,Rice,Odisha,Bhubaneswar,Rainfed,557.13,64.0,2772.0,1544.36
2020-04-28,2020,Kharif,Pulses,Uttar Pradesh,Lucknow,Rainfed,989.91,84.0,1459.0,1444.28
2025-07-10,2025,Kharif,Maize,Madhya Pradesh,Bhopal,Tube Well,603.21,147.0,7206.0,4346.73
2020-04-26,2020,Kharif,Pulses,Madhya Pradesh,Bhopal,Tube Well,537.88,92.0,1950.0,1048.87
2023-03-12,2023,Kharif,Cotton,Telangana,Nizamabad,Rainfed,673.69,130.0,979.0,659.54
2018-05-28,2018,Perennial,Tea,Kerala,Thrissur,Drip,542.9,69.0,3035.0,1647.7
2017-01-15,2017,Kharif,Cotton,Gujarat,Surat,Rainfed,581.73,80.0,667.0,388.01
2021-04-24,2021,Kharif,Oilseeds,Maharashtra,Nashik,Drip,184.07,160.0,3194.0,587.92
2017-06-03,2017,Rabi,Pulses,Uttar Pradesh,Varanasi,Rainfed,1180.31,55.0,918.0,1083.52
2022-09-08,2022,Kharif,Oilseeds,Gujarat,Surat,Tube Well,46.63,67.0,2301.0,107.3
2019-10-14,2019,Perennial,Apple,Himachal Pradesh,Shimla,Rainfed,496.33,82.0,6225.0,3089.65
2024-08-09,2024,Kharif,Cotton,Gujarat,Rajkot,Rainfed,995.87,53.0,821.0,817.61
2025-06-17,2025,Perennial,Tea,Assam,Tinsukia,Rainfed,540.02,64.0,1375.0,742.53
2020-10-15,2020,Zaid,Coconut,Andhra Pradesh,Chittoor,Canal,1160.26,92.0,14142.0,16408.4
2023-03-24,2023,Kharif,Maize,Madhya Pradesh,Bhopal,Rainfed,493.85,64.0,3729.0,1841.57
2021-07-15,2021,Kharif,Rice,Chhattisgarh,Raipur,Rainfed,48.94,180.0,3244.0,158.76
2015-03-22,2015,Perennial,Sugarcane,Tamil Nadu,Chennai,Drip,619.73,60.0,95069.0,58917.11
2021-01-23,2021,Zaid,Coconut,Tamil Nadu,Chennai,Tube Well,312.15,179.0,7816.0,2439.76
2018-11-04,2018,Zaid,Coconut,Kerala,Thrissur,Rainfed,301.89,173.0,6314.0,1906.13
2019-07-20,2019,Zaid,Coconut,Kerala,Kozhikode,Drip,373.07,65.0,13216.0,4930.49
2022-11-24,2022,Kharif,Cotton,Maharashtra,Mumbai,Rainfed,1009.23,54.0,724.0,730.68
2016-05-11,2016,Kharif,Rice,Odisha,Bhubaneswar,Canal,457.61,57.0,3187.0,1458.4
2020-07-30,2020,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,385.0,139.0,888.0,341.88
2021-07-03,2021,Perennial,Coffee,Tamil Nadu,Madurai,Tube Well,339.15,151.0,1336.0,453.1
2017-05-08,2017,Rabi,Potato,West Bengal,Howrah,Rainfed,598.46,143.0,26528.0,15875.95
2025-09-26,2025,Kharif,Cotton,Gujarat,Ahmedabad,Tube Well,305.59,131.0,910.0,278.09
2016-03-28,2016,Kharif,Maize,Andhra Pradesh,Guntur,Tube Well,320.58,76.0,4529.0,1451.91
2015-12-17,2015,Kharif,Maize,Bihar,Patna,Tube Well,759.69,176.0,6032.0,4582.45
2023-06-19,2023,Kharif,Rice,Punjab,Amritsar,Canal,520.4,99.0,6426.0,3344.09
2024-09-19,2024,Zaid,Coconut,Andhra Pradesh,Guntur,Tube Well,71.17,198.0,11007.0,783.37
2018-09-28,2018,Rabi,Pulses,Rajasthan,Jaipur,Tube Well,247.14,108.0,1427.0,352.67
2025-05-31,2025,Perennial,Tea,Kerala,Thrissur,Rainfed,514.47,89.0,1799.0,925.53
2016-09-02,2016,Rabi,Wheat,Rajasthan,Jaipur,Tube Well,571.65,184.0,5281.0,3018.88
2023-11-01,2023,Kharif,Maize,Telangana,Nizamabad,Canal,866.12,135.0,4306.0,3729.51
2019-09-12,2019,Zaid,Coconut,Andhra Pradesh,Visakhapatnam,Tube Well,898.0,158.0,11837.0,10629.63
2020-04-14,2020,Zaid,Coconut,Karnataka,Bangalore,Drip,477.45,111.0,14993.0,7158.41
2024-06-14,2024,Rabi,Wheat,Uttar Pradesh,Kanpur,Tube Well,455.69,183.0,3540.0,1613.14
2022-01-18,2022,Zaid,Coconut,Karnataka,Hubli,Canal,151.3,188.0,17415.0,2634.89
2021-12-05,2021,Rabi,Wheat,Rajasthan,Jodhpur,Rainfed,443.1,116.0,3215.0,1424.57
2023-03-16,2023,Rabi,Pulses,Madhya Pradesh,Bhopal,Rainfed,412.81,86.0,1370.0,565.55
2020-11-20,2020,Rabi,Oilseeds,Rajasthan,Udaipur,Rainfed,477.61,147.0,3146.0,1502.56
2020-03-30,2020,Kharif,Pulses,Maharashtra,Nagpur,Tube Well,315.9,193.0,1413.0,446.37
2016-03-02,2016,Kharif,Rice,Tamil Nadu,Madurai,Tube Well,362.77,143.0,5756.0,2088.1
2018-08-19,2018,Kharif,Oilseeds,Rajasthan,Jaipur,Tube Well,211.55,193.0,3900.0,825.04
2024-09-09,2024,Rabi,Pulses,Uttar Pradesh,Lucknow,Rainfed,1198.5,102.0,1377.0,1650.33
2024-08-13,2024,Kharif,Pulses,Maharashtra,Mumbai,Drip,230.89,187.0,1286.0,296.92
2019-09-02,2019,Rabi,Wheat,Haryana,Gurgaon,Canal,855.78,67.0,3783.0,3237.42
2022-04-22,2022,Perennial,Coffee,Kerala,Kozhikode,Rainfed,50.57,104.0,652.0,32.97
2017-02-27,2017,Kharif,Pulses,Uttar Pradesh,Lucknow,Rainfed,828.8,124.0,1524.0,1263.09
2020-09-10,2020,Rabi,Oilseeds,Rajasthan,Jodhpur,Rainfed,54.1,148.0,2666.0,144.23
2024-06-02,2024,Zaid,Coconut,Tamil Nadu,Madurai,Canal,201.71,94.0,10769.0,2172.21
2017-12-16,2017,Kharif,Maize,Maharashtra,Pune,Rainfed,155.8,189.0,5627.0,876.69
2024-11-20,2024,Kharif,Cotton,Gujarat,Ahmedabad,Rainfed,422.6,186.0,553.0,233.7
2020-07-24,2020,Kharif,Rice,Andhra Pradesh,Visakhapatnam,Tube Well,419.04,170.0,3267.0,1369.0
2025-08-16,2025,Kharif,Oilseeds,Rajasthan,Udaipur,Tube Well,580.23,67.0,3213.0,1864.28
2025-07-02,2025,Perennial,Tea,Kerala,Kozhikode,Drip,188.29,62.0,1375.0,258.9
2015-07-02,2015,Perennial,Coffee,Tamil Nadu,Coimbatore,Drip,104.16,125.0,1127.0,117.39
2020-11-18,2020,Rabi,Oilseeds,Rajasthan,Udaipur,Rainfed,426.42,165.0,3183.0,1357.29
2024-03-31,2024,Perennial,Sugarcane,Maharashtra,Nashik,Rainfed,896.81,68.0,68012.0,60993.84
2015-03-13,2015,Perennial,Apple,Himachal Pradesh,Shimla,Rainfed,154.46,146.0,12600.0,1946.2
2024-06-03,2024,Kharif,Pulses,Maharashtra,Nagpur,Drip,787.63,129.0,1543.0,1215.31
2022-07-29,2022,Perennial,Tea,West Bengal,Howrah,Canal,855.9,159.0,2055.0,1758.87
2024-09-18,2024,Rabi,Wheat,Haryana,Hisar,Canal,493.1,115.0,4092.0,2017.77
2019-08-04,2019,Perennial,Coffee,Tamil Nadu,Chennai,Drip,582.64,154.0,1719.0,1001.56
2018-07-19,2018,Perennial,Sugarcane,Tamil Nadu,Madurai,Tube Well,169.83,74.0,118137.0,20063.21
2023-01-03,2023,Kharif,Cotton,Gujarat,Ahmedabad,Rainfed,38.14,82.0,823.0,31.39
2025-02-07,2025,Kharif,Maize,Bihar,Gaya,Canal,981.55,186.0,5019.0,4926.4
2021-10-03,2021,Kharif,Maize,Bihar,Patna,Rainfed,306.73,99.0,4052.0,1242.87
2018-09-09,2018,Rabi,Pulses,Uttar Pradesh,Varanasi,Rainfed,425.56,198.0,1275.0,542.59
2022-03-10,2022,Perennial,Apple,Himachal Pradesh,Mandi,Rainfed,486.89,57.0,6885.0,3352.24
2023-05-01,2023,Perennial,Coffee,Kerala,Thrissur,Drip,585.3,124.0,1443.0,844.59
2017-08-23,2017,Kharif,Cotton,Maharashtra,Mumbai,Drip,765.03,99.0,897.0,686.23
2020-01-05,2020,Rabi,Pulses,Uttar Pradesh,Kanpur,Tube Well,1051.99,199.0,1712.0,1801.01
2021-11-03,2021,Rabi,Potato,Uttar Pradesh,Lucknow,Tube Well,1067.79,199.0,43826.0,46796.96
2024-12-30,2024,Kharif,Oilseeds,Madhya Pradesh,Bhopal,Rainfed,613.04,85.0,2088.0,1280.03
2024-04-10,2024,Kharif,Maize,Telangana,Hyderabad,Tube Well,69.8,90.0,4701.0,328.13
2023-06-16,2023,Kharif,Maize,Madhya Pradesh,Bhopal,Tube Well,336.14,162.0,5388.0,1811.12
2015-11-06,2015,Perennial,Apple,Jammu and Kashmir,Srinagar,Rainfed,125.1,183.0,14938.0,1868.74
2022-06-09,2022,Kharif,Oilseeds,Madhya Pradesh,Bhopal,Tube Well,65.75,150.0,3827.0,251.63
2021-06-23,2021,Rabi,Wheat,Bihar,Patna,Rainfed,418.47,180.0,3808.0,1593.53
2015-07-10,2015,Zaid,Coconut,Tamil Nadu,Chennai,Canal,681.63,59.0,9103.0,6204.88
2020-07-21,2020,Kharif,Cotton,Andhra Pradesh,Guntur,Rainfed,222.41,146.0,1085.0,241.31
2022-09-03,2022,Perennial,Apple,Himachal Pradesh,Shimla,Rainfed,159.46,155.0,15653.0,2496.03
2021-10-22,2021,Perennial,Sugarcane,Maharashtra,Nashik,Rainfed,834.53,79.0,55523.0,46335.61
2023-01-20,2023,Kharif,Oilseeds,Gujarat,Rajkot,Tube Well,699.4,167.0,3865.0,2703.18
2017-11-09,2017,Rabi,Oilseeds,Maharashtra,Pune,Rainfed,1130.73,192.0,3117.0,3524.49
2025-09-01,2025,Kharif,Rice,Uttar Pradesh,Lucknow,Rainfed,1188.93,185.0,3543.0,4212.38
2017-08-03,2017,Kharif,Maize,Karnataka,Hubli,Tube Well,1062.52,87.0,4786.0,5085.22
2021-09-27,2021,Kharif,Rice,West Bengal,Kolkata,Rainfed,660.94,99.0,3652.0,2413.75
2023-03-14,2023,Rabi,Wheat,Madhya Pradesh,Bhopal,Tube Well,561.79,125.0,3365.0,1890.42
2024-11-09,2024,Rabi,Pulses,Madhya Pradesh,Bhopal,Rainfed,689.8,74.0,919.0,633.93
2016-02-13,2016,Kharif,Maize,Telangana,Warangal,Rainfed,757.59,193.0,6781.0,5137.22
2018-11-09,2018,Kharif,Rice,Uttar Pradesh,Kanpur,Tube Well,1080.9,74.0,4187.0,4525.73
2024-04-30,2024,Perennial,Sugarcane,Maharashtra,Nashik,Tube Well,655.33,164.0,103956.0,68125.49
2022-02-20,2022,Kharif,Cotton,Telangana,Nizamabad,Canal,253.15,101.0,662.0,167.59
2020-06-25,2020,Kharif,Cotton,Andhra Pradesh,Krishna,Rainfed,1053.89,136.0,847.0,892.64
2018-07-02,2018,Rabi,Wheat,Uttar Pradesh,Lucknow,Tube Well,1167.22,57.0,4065.0,4744.75
2017-11-13,2017,Perennial,Apple,Jammu and Kashmir,Srinagar,Rainfed,336.78,81.0,7150.0,2407.98
2016-02-26,2016,Kharif,Maize,Madhya Pradesh,Bhopal,Rainfed,121.22,117.0,4191.0,508.03
2018-11-23,2018,Rabi,Pulses,Maharashtra,Pune,Drip,416.11,152.0,1527.0,635.4
2015-07-20,2015,Zaid,Coconut,Andhra Pradesh,Guntur,Tube Well,515.61,167.0,9708.0,5005.54
2025-09-21,2025,Kharif,Cotton,Maharashtra,Nagpur,Tube Well,1091.47,55.0,1265.0,1380.71
2017-08-18,2017,Zaid,Coconut,Andhra Pradesh,Chittoor,Rainfed,1072.54,73.0,5551.0,5953.67
2023-09-08,2023,Kharif,Rice,Punjab,Patiala,Tube Well,434.49,159.0,2926.0,1271.32
2024-06-18,2024,Rabi,Pulses,Rajasthan,Udaipur,Tube Well,483.64,172.0,2065.0,998.72
2016-07-31,2016,Rabi,Potato,Punjab,Patiala,Tube Well,125.94,85.0,26566.0,3345.72
2022-03-12,2022,Rabi,Potato,West Bengal,Darjeeling,Rainfed,456.43,84.0,15935.0,7273.21
2016-09-07,2016,Kharif,Maize,Karnataka,Bangalore,Canal,540.47,63.0,6063.0,3276.87
2018-05-16,2018,Perennial,Coffee,Karnataka,Bangalore,Tube Well,844.54,73.0,647.0,546.42
2019-01-10,2019,Kharif,Cotton,Gujarat,Surat,Tube Well,1071.45,51.0,775.0,830.37
2023-12-06,2023,Kharif,Oilseeds,Gujarat,Rajkot,Rainfed,411.37,138.0,1364.0,561.11
2016-03-14,2016,Kharif,Cotton,Maharashtra,Nashik,Rainfed,690.78,186.0,668.0,461.44
2024-07-31,2024,Rabi,Wheat,Rajasthan,Jodhpur,Rainfed,456.74,72.0,2598.0,1186.61
2018-03-25,2018,Rabi,Potato,West Bengal,Darjeeling,Canal,368.27,163.0,29230.0,10764.53
2020-11-13,2020,Kharif,Pulses,Rajasthan,Udaipur,Tube Well,690.02,136.0,1229.0,848.03
2025-01-06,2025,Rabi,Wheat,Rajasthan,Udaipur,Tube Well,614.28,191.0,3247.0,1994.57
2023-06-04,2023,Kharif,Cotton,Gujarat,Ahmedabad,Rainfed,362.72,170.0,1048.0,380.13
2021-12-06,2021,Rabi,Pulses,Maharashtra,Pune,Rainfed,665.25,178.0,1453.0,966.61
2018-06-25,2018,Kharif,Oilseeds,Maharashtra,Nagpur,Tube Well,307.78,146.0,1855.0,570.93
2019-02-27,2019,Rabi,Oilseeds,Madhya Pradesh,Bhopal,Rainfed,416.46,172.0,1646.0,685.49
2024-01-10,2024,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,549.83,103.0,1656.0,910.52
2016-03-22,2016,Perennial,Coffee,Kerala,Kozhikode,Drip,77.56,81.0,732.0,56.77
2023-03-03,2023,Kharif,Oilseeds,Madhya Pradesh,Bhopal,Rainfed,697.39,187.0,2313.0,1613.06
2025-03-08,2025,Kharif,Pulses,Madhya Pradesh,Bhopal,Tube Well,479.06,160.0,1729.0,828.29
2022-07-22,2022,Kharif,Pulses,Madhya Pradesh,Bhopal,Tube Well,791.79,64.0,2096.0,1659.59
2021-12-06,2021,Perennial,Tea,Kerala,Thrissur,Rainfed,30.22,180.0,2478.0,74.89
2022-12-06,2022,Perennial,Coffee,Tamil Nadu,Madurai,Canal,916.33,102.0,1575.0,1443.22
2017-05-22,2017,Kharif,Oilseeds,Gujarat,Ahmedabad,Rainfed,952.44,95.0,1736.0,1653.44
2021-10-03,2021,Rabi,Oilseeds,Gujarat,Rajkot,Tube Well,168.09,143.0,3086.0,518.73
2022-01-26,2022,Perennial,Tea,Kerala,Ernakulam,Rainfed,274.89,135.0,2064.0,567.37
2024-07-05,2024,Rabi,Wheat,Haryana,Faridabad,Tube Well,1239.87,131.0,3560.0,4413.94
2019-07-14,2019,Rabi,Pulses,Madhya Pradesh,Bhopal,Tube Well,419.58,88.0,2297.0,963.78
2016-07-11,2016,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,327.01,194.0,2297.0,751.14
2024-09-05,2024,Kharif,Pulses,Maharashtra,Mumbai,Rainfed,1178.09,193.0,1363.0,1605.74
2019-09-22,2019,Perennial,Sugarcane,Karnataka,Mysore,Drip,111.75,51.0,112802.0,12605.62
2016-11-24,2016,Perennial,Sugarcane,Tamil Nadu,Chennai,Drip,525.7,101.0,103375.0,54344.24
2024-08-24,2024,Rabi,Pulses,Rajasthan,Udaipur,Tube Well,460.14,57.0,1582.0,727.94
2024-10-04,2024,Kharif,Cotton,Maharashtra,Nagpur,Rainfed,795.02,178.0,802.0,637.61
2016-10-07,2016,Kharif,Maize,Maharashtra,Pune,Drip,350.92,183.0,6134.0,2152.54
2017-10-03,2017,Zaid,Coconut,Karnataka,Belgaum,Drip,624.01,128.0,16410.0,10240.0
2015-01-23,2015,Perennial,Tea,West Bengal,Howrah,Rainfed,782.33,176.0,2379.0,1861.16
2018-02-02,2018,Perennial,Apple,Himachal Pradesh,Shimla,Rainfed,296.59,156.0,10261.0,3043.31
2019-10-24,2019,Zaid,Coconut,Andhra Pradesh,Chittoor,Rainfed,824.51,125.0,10363.0,8544.4
2017-05-11,2017,Rabi,Oilseeds,Rajasthan,Jodhpur,Rainfed,186.69,105.0,2435.0,454.59
2019-11-03,2019,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,667.95,90.0,1089.0,727.4
2017-12-27,2017,Kharif,Pulses,Madhya Pradesh,Bhopal,Tube Well,365.25,89.0,1254.0,458.02
2025-03-19,2025,Perennial,Tea,Assam,Cachar,Rainfed,789.91,134.0,2370.0,1872.09
2019-03-30,2019,Rabi,Potato,Uttar Pradesh,Kanpur,Tube Well,44.7,75.0,31670.0,1415.65
2023-05-12,2023,Kharif,Maize,Andhra Pradesh,Guntur,Canal,462.58,76.0,7563.0,3498.49
2023-11-12,2023,Kharif,Oilseeds,Maharashtra,Nashik,Drip,242.81,52.0,1304.0,316.62
2023-11-17,2023,Rabi,Wheat,Haryana,Gurgaon,Canal,782.3,142.0,4377.0,3424.13
2019-12-13,2019,Kharif,Cotton,Andhra Pradesh,Chittoor,Rainfed,299.41,199.0,1123.0,336.24
2015-08-17,2015,Kharif,Rice,Tamil Nadu,Madurai,Canal,813.85,183.0,5693.0,4633.25
2019-07-08,2019,Rabi,Pulses,Uttar Pradesh,Lucknow,Rainfed,1323.98,156.0,1803.0,2387.14
2018-01-15,2018,Rabi,Pulses,Madhya Pradesh,Bhopal,Rainfed,176.6,168.0,1073.0,189.49
2024-11-25,2024,Rabi,Oilseeds,Madhya Pradesh,Bhopal,Tube Well,136.94,113.0,1299.0,177.89
2018-04-07,2018,Kharif,Oilseeds,Gujarat,Ahmedabad,Rainfed,1051.68,95.0,1164.0,1224.16
2017-04-06,2017,Zaid,Coconut,Andhra Pradesh,Visakhapatnam,Tube Well,439.91,105.0,8987.0,3953.47
2016-08-27,2016,Kharif,Pulses,Rajasthan,Udaipur,Rainfed,309.86,62.0,1101.0,341.16
2025-01-13,2025,Kharif,Rice,Telangana,Warangal,Rainfed,206.66,145.0,4950.0,1022.97
2023-04-23,2023,Zaid,Coconut,Kerala,Ernakulam,Rainfed,346.0,76.0,4420.0,1529.32
2022-03-13,2022,Rabi,Oilseeds,Gujarat,Surat,Rainfed,285.25,164.0,2084.0,594.46
2018-12-18,2018,Perennial,Tea,West Bengal,Howrah,Rainfed,735.86,78.0,2316.0,1704.25
2019-12-09,2019,Rabi,Wheat,Uttar Pradesh,Varanasi,Tube Well,753.33,84.0,3692.0,2781.29
2018-09-16,2018,Rabi,Wheat,Bihar,Patna,Canal,790.18,194.0,3500.0,2765.63
2022-06-05,2022,Kharif,Cotton,Andhra Pradesh,Visakhapatnam,Canal,382.15,66.0,784.0,299.61
2020-08-01,2020,Kharif,Maize,Telangana,Nizamabad,Tube Well,459.98,125.0,6454.0,2968.71
2022-04-16,2022,Kharif,Cotton,Gujarat,Ahmedabad,Tube Well,318.83,59.0,480.0,153.04
2023-03-25,2023,Kharif,Rice,Uttar Pradesh,Lucknow,Canal,1402.37,64.0,6050.0,8484.34
2022-11-11,2022,Perennial,Tea,Kerala,Ernakulam,Rainfed,422.33,145.0,1982.0,837.06
2016-05-28,2016,Kharif,Pulses,Uttar Pradesh,Lucknow,Rainfed,268.46,145.0,1762.0,473.03
2024-06-16,2024,Perennial,Sugarcane,Maharashtra,Pune,Drip,361.87,79.0,99119.0,35868.19
2023-06-30,2023,Rabi,Wheat,Bihar,Muzaffarpur,Canal,92.07,181.0,5930.0,545.98
2016-08-06,2016,Zaid,Coconut,Kerala,Ernakulam,Drip,31.97,155.0,13180.0,421.36
2025-04-15,2025,Rabi,Wheat,Uttar Pradesh,Kanpur,Rainfed,793.62,95.0,3261.0,2587.99
2024-09-29,2024,Rabi,Pulses,Madhya Pradesh,Bhopal,Rainfed,276.33,87.0,1772.0,489.66
2019-03-02,2019,Rabi,Potato,Bihar,Patna,Canal,964.14,163.0,40062.0,38625.38
2019-06-25,2019,Kharif,Oilseeds,Maharashtra,Nashik,Drip,231.02,160.0,1611.0,372.17
2020-12-02,2020,Zaid,Coconut,Karnataka,Bangalore,Canal,875.36,72.0,7851.0,6872.45
2018-11-05,2018,Kharif,Rice,Andhra Pradesh,Visakhapatnam,Tube Well,386.01,102.0,3477.0,1342.16
2022-05-11,2022,Kharif,Cotton,Gujarat,Ahmedabad,Rainfed,276.01,83.0,389.0,107.37
2024-04-26,2024,Rabi,Pulses,Rajasthan,Udaipur,Tube Well,679.05,94.0,2317.0,1573.36
2020-06-29,2020,Kharif,Maize,Bihar,Gaya,Canal,804.55,93.0,5149.0,4142.63
2025-01-02,2025,Perennial,Tea,West Bengal,Darjeeling,Rainfed,697.38,196.0,1768.0,1232.97
2016-12-22,2016,Perennial,Sugarcane,Maharashtra,Nashik,Rainfed,909.29,163.0,60666.0,55162.99
2020-06-06,2020,Perennial,Sugarcane,Uttar Pradesh,Kanpur,Rainfed,1487.16,167.0,110489.0,164314.82
2018-09-20,2018,Kharif,Pulses,Uttar Pradesh,Varanasi,Rainfed,893.88,92.0,1748.0,1562.5
2019-05-19,2019,Kharif,Maize,Maharashtra,Nagpur,Tube Well,141.45,50.0,5423.0,767.08
